Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
0,9.3,0,0.016047301,0,249.8092,0,1999,0,0,0,3735.138
1,5.92,1,0.019278216,1,48.2692,1,2009,0,1,1,443.4228
2,17.5,0,0.016760075,2,141.618,0,1999,0,0,0,2097.27
3,19.2,1,0.022910510000000002,3,182.095,2,1998,1,1,2,732.38
4,8.93,0,0.016164306,4,53.8614,3,1987,2,1,0,994.7052
5,10.395,1,0.091392321,5,51.4008,1,2009,0,1,1,556.6088
6,13.65,1,0.012741088999999999,6,57.6588,3,1987,2,1,0,343.5528
7,19.0,0,0.127469857,6,107.7622,4,1985,0,1,3,4022.7636
8,16.2,1,0.016687114,7,96.9726,5,2002,1,2,0,1076.5986
9,19.2,1,0.09444959,7,187.8214,6,2007,1,2,0,4710.535
10,11.8,0,0.12187957333333332,3,45.5402,0,1999,0,0,0,1516.0266
11,18.5,1,0.045463773,0,144.1102,7,1997,1,0,0,2187.153
12,15.1,1,0.1000135,3,145.4786,0,1999,0,0,0,1589.2646
13,17.6,1,0.047257328,6,119.6782,7,1997,1,0,0,2145.2076
14,16.35,0,0.06802430000000001,3,196.4426,3,1987,2,1,0,1977.4260000000002
15,9.0,1,0.06908896099999999,8,56.3614,7,1997,1,0,0,1547.3192
16,11.8,0,0.008596051,9,115.3492,1,2009,0,1,1,1621.8888
15,9.0,1,0.06919637599999999,8,54.3614,0,1999,0,0,0,718.3982
17,8.26,0,0.034237682,10,113.2834,4,1985,0,1,3,2303.6679999999997
18,13.35,0,0.10249212,0,230.5352,8,2004,1,2,0,2748.4224
19,18.85,1,0.138190277,6,250.8724,3,1987,2,1,0,3775.086
20,8.315,1,0.035399923,5,144.5444,4,1985,0,1,3,4064.0432
21,14.6,0,0.025698133999999997,4,196.5084,8,2004,1,2,0,1587.2672
22,15.5,0,0.057556998,5,107.6938,9,1985,1,0,2,214.3876
23,13.85,1,0.025896485,7,165.021,7,1997,1,0,0,4078.025
24,13.0,0,0.099887103,4,45.906000000000006,6,2007,1,2,0,838.908
25,7.645,1,0.06669343700000001,6,42.3112,8,2004,1,2,0,1065.28
26,11.65,0,0.019356131999999998,10,39.1164,3,1987,2,1,0,308.9312
