,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1334.2632
1,FDW14,OUT017,1482.7366
2,NCN55,OUT010,1853.5872
3,FDQ58,OUT017,2603.278
4,FDY38,OUT027,790.9704
5,FDH56,OUT046,2756.4120000000003
6,FDL48,OUT018,2020.0372
7,FDC48,OUT027,177.1028
8,FDN33,OUT045,978.7260000000001
9,FDA36,OUT017,2432.1674
10,FDT44,OUT017,942.7728
11,FDQ56,OUT045,2174.5028
12,NCC54,OUT019,715.0692
13,FDU11,OUT049,1867.569
14,DRL59,OUT013,571.2564
15,FDM24,OUT049,870.8664
16,FDI57,OUT045,3559.3668
17,DRC12,OUT018,3078.6592
18,NCM42,OUT027,213.05599999999998
19,FDA46,OUT010,3142.5759999999996
20,FDA31,OUT013,2117.244
21,NCJ31,OUT035,5759.17
22,FDG52,OUT046,326.242
23,NCL19,OUT019,2403.538
24,FDS10,OUT035,3101.2964
25,FDX22,OUT010,4655.2736
26,NCF19,OUT035,680.4476
27,NCE06,OUT046,2330.3
28,DRC27,OUT046,6615.3888
29,FDE21,OUT035,1787.6729999999998
30,NCR42,OUT019,545.2902
31,FDX51,OUT018,3757.1094
32,NCR06,OUT018,1342.2528
33,FDU31,OUT027,436.7648
34,FDU59,OUT017,1018.674
35,FDR03,OUT027,436.7648
36,FDS49,OUT027,177.1028
37,FDD48,OUT010,230.3668
38,NCF18,OUT017,5369.0112
39,NCD43,OUT027,399.48
40,NCD54,OUT018,3119.9388
41,FDY19,OUT010,1138.518
42,NCY54,OUT017,700.4216
43,NCL19,OUT018,3499.4448
44,FDP23,OUT010,5747.1856
45,FDC26,OUT013,1018.674
46,FDR14,OUT010,808.947
47,NCS41,OUT035,2940.1728
48,FDF41,OUT035,3046.7008
49,FDU34,OUT046,747.0276
50,DRH11,OUT046,599.22
51,FDM03,OUT013,3705.177
52,FDS31,OUT017,4693.89
53,FDJ20,OUT017,1238.388
54,FDV44,OUT027,780.3176
55,FDG02,OUT049,5195.2374
56,FDA09,OUT013,4477.505
57,FDT04,OUT013,986.7156
58,FDL58,OUT019,527.3136
59,FDE52,OUT045,1062.6168
60,FDW12,OUT035,1611.236
61,FDL51,OUT017,5747.1856
62,NCY42,OUT027,487.3656
63,FDR07,OUT017,522.653
64,FDN40,OUT045,2934.8464
65,FDB35,OUT027,261.6594
66,FDA22,OUT017,4399.6064
67,NCL06,OUT046,7028.8506
68,FDI35,OUT013,3516.7556
69,NCW42,OUT045,5747.1856
70,NCX06,OUT049,2676.5159999999996
71,FDC37,OUT027,426.11199999999997
72,FDZ14,OUT018,1832.2816
73,DRG49,OUT049,3072.667
74,NCG06,OUT045,3700.5164
75,DRC36,OUT045,700.4216
76,FDV21,OUT019,1761.7068
77,FDB53,OUT046,1938.8096
78,DRP47,OUT019,2775.7202
79,FDA14,OUT013,1813.6392
80,DRC24,OUT035,3795.06
81,FDW21,OUT018,978.7260000000001
82,NCH29,OUT046,591.2304
83,FDU58,OUT013,5715.2272
84,FDY27,OUT017,4460.86
85,FDV56,OUT035,1435.4648
86,FDT59,OUT046,4655.2736
87,FDB23,OUT046,4514.124
88,FDR49,OUT045,490.6946
89,FDB03,OUT010,4274.436
90,FDN39,OUT045,1651.184
91,FDX02,OUT027,436.7648
92,FDQ16,OUT027,428.7752
93,FDU35,OUT018,2956.152
94,NCT29,OUT013,3219.8088
